03 Death of a Disco Dancer,172,86,43,,,,
04 Black Horse and the Cherry Tree,103,207,,,,,
09 Suddenly I See,99,198,,,,,
53rdAnd3rdMP,137,68,273,,,,
ActNaturally,92,186,,,,,
AHardRainsAGonnaFall,191,64,,,,,
AintAGonnaBeTreatedThisaway,129,258,65,,,,
Allentown,117,235,59,,,,
AllMyLoving,152,76,,,,,
Amore,157,52,,,librosa disagrees,,
An American In Paris,,,,,,,changes tempo too much
AndWeDancedMP,136,68,288,,librosa disagrees,,
AnotherGirl,178,89,,,,,
ASimpleDesultoryPhilippic,92,186,,,,,
becausethenightcd,123,246,62,,,,
BeMineTonight,144,72,287,,,,
BeWithYou1mp,225,112,56,,,,
Best of the Millenium Top 40 Classical Hits - 12 - George Gershwin - Rhapsody In Blue,,,,,,,changes tempo too much
BigJimMP,164,82,,,,,
BloodyMerryMorning,112,225,56,,,,
BlueMoon,130,259,65,,,,
BothSidesNow,123,246,62,,,,
Byrds - Hey Mr. Tambourine Man,123,246,62,,,,
CaliforniaDreamin2MP,112,225,56,,,,
CallMe1,144,72,,,,,
CharlieBrown,127,254,64,,,,
ChatanoogaChooChoo,172,86,,,,,
Chicago Blues Harmonica Poject - Dusty Brown He Don't Love You,71,212,,,,,
Collide,94,188,47,,librosa disagrees badly,,
ComeToMyWindow,97,49,194,,,,
CreequeAlley,144,72,,,,,
Criminal,89,178,45,,,,
CrocodileRock1,150,300,75,,,,
DearPrudence,,,,,,,changes tempo too much
DirkBalthausTrioMelAndChloe,148,74,,,,,
DontBotherMe,171,86,,,,,
DontCryMP,136,68,272,,,,
DontPassMeBy,172,86,43,,,,
DontSetMeFree,183,91,,,,,
DontWaitTillTomorrowMP,152,76,,,,,
DoReMi,129,258,65,,,,
DoYouWannaDanceMP,92,185,,,,,
DriveMyCar,123,62,246,,,,
DustyRoad,126,63,252,,,,
EaglesDesperado,117,59,,,,,
EternalFlame,158,79,,,,,
FireAndIce,117,235,,,,,
FireAndRain2MP,152,76,,,,,
FolsomPrisonBlues,112,225,56,,,,
FrankMillsSoundtrack,86,,,,,,
FromMeToYou2MP,136,68,272,,,,
FugueForTinhorns2,161,81,,,,,
Girl,96,48,,,,,"mostly triplets, but some parts use doublets, so can't go fast"
GoodGollyMissMollyWithJerryLeeAndFats,161,81,,,,,
GoodMorning,123,,,,,,
GotToGetYouIntoMyLife,136,68,,,,,
HangingOnTheTelephone,152,,,,,,
HazyShadeOfWinter2mp,152,76,304,,,,
HeartbreakerMP,156,312,,,,,
HeartofGlassMP,115,,,,,,
HeavenKnows1,130,65,,,,,
Help,96,192,,,,,
HitMeWithYourBestShotMP,127,255,64,,,,
HitTheRoadJack,173,86,,,,,
HoldMeTight,136,68,272,,,,
HotelCaliforniaOriginal,147,74,,,,,
HowDoIMakeYou,166,83,,,,,
HungryHeart,110,55,220,,,,
IDontLikeMondays,142,284,71,,,,
IDontWannaWalkAroundWithYouMP,177,89,,,,,
IDontWantToKnow,174,87,,,,,
IfIHadAHammer,186,93,,,,,
IfINeededSomeone,129,258,65,,,,
IfItMakesYouHappy,96,48,192,,,,
IfIWereABell,123,62,,,,,
IllBeThereForYou,190,95,,,,,
ImABeliever160,161,81,,,,,
ImJustAGirl,215,107,,,,,
ImLookingThruYou,172,86,,,,,
InMyLife,103,207,52,,,,
InTheHillsOfShiloh,40,80,,,,,
InTheMood,176,,,,,,
IreneCaraWhatAFeeling,124,62,247,,,,
ISawTheLight,128,256,,,,,
ISayALittlePrayerForYou1,144,72,,,,,
IThinkWereAloneNow2MP,129,65,258,,,,
ItllOnlyHurtALittleWhileMP,167,83,,,,,
ItsRainingMen,137,274,69,,,,
ItsStillRockNRollToMe,142,71,,,,,
ItWontBeLong,136,68,272,,,,
IveJustSeenAFace,123,246,,,,,
IWantToTellYou,129,65,,,,,
IWillSurvive,117,234,58,,,,
JackieIsAPunk2MP,183,91,,,,,
JailhouseRock,167,83,,,,,
Kalamazoo,133,66,,,,,
KathyLeeMP,123,62,246,,,,
LetTheMusicPlay,115,230,58,,,,
NineteenthNervousBreakdownMP,191,96,,,,,
PipsGrapevineMP,113,225,56,,,,
RespectMP,116,58,231,,,,
SallyGoRoundTheRoses,151,301,75,,librosa disagrees badly,,
ShouldIStayOrShouldIGoMP,112,225,56,,,,
SmoothOperator,119,239,60,,,,
summertimecd,58,175,,,,,
TakingCareOfBusiness,130,259,65,,,,
TangledUpInBlue,98,196,,,,,
ThankGodImACountryBoy,207,104,,,,,
TheBollWeevil,169,85,,,,,
TheLoveYouSave,113,226,57,,,,
UpOnCrippleCreek,146,293,73,,,,
WalkThisWay1,219,110,,,,,
WeDidntStartTheFire,145,291,73,,,,
WheneverWherever,108,217,,,,,half-time just doesn't feel right
WhenMyBlueMoonTurnsToGold,150,299,75,,,,
WhenWillIBeLovedMP,132,66,,,,,
WhyDoYouTellLiesMP,136,68,271,,,,
WithoutYouMP,159,80,319,,librosa disagrees badly,,
